ARTWORK_TITLE,ARTIST,YEAR,MEDIUM,TYPE,DIMENSION,SUPPORT,FRAME,SIGNATURE,AUTHENTICITY,ABOUT,IMAGE_LOC,SElLER_ID,ARTWORK_ID
"Le reflet de tes pensées","Mathilde de Bellecombe",2019,Painting,"Unique work","146 x 97 x 4 cm (Height x Width x Depth)","Painting on Linen","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionPainting on the theme of travel between abstraction and realism ... An invitation to dream.
        

        Read more",NULL,1,1
"Gamins en ligne droite","Marcos Zrihen",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2
Sénégalais,"Marcos Zrihen",2016,Painting,"Unique work","97 x 130 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,3
"En parallèle","Marcos Zrihen",2018,Painting,"Unique work","120 x 60 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,4
"Sénégalais ","Marcos Zrihen",2018,Painting,"Unique work","97 x 130 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,5
"Je t'aime","Marcos Zrihen",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,6
Retrouvaille,"Marcos Zrihen",2013,Painting,"Unique work","80 x 80 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,7
"Sénégalais en ligne droite","Marcos Zrihen",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,8
"Gamins / Gamines","Marcos Zrihen",2018,Painting,"Unique work","92 x 73 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,9
"Sénégalais en ligne","Marcos Zrihen",2018,Painting,"Unique work","40 x 40 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,10
"Paysage Rêvé","Marcos Zrihen",2017,Painting,"Unique work","50 x 150 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,11
"Purple wood","Marcos Zrihen",2017,Painting,"Unique work","116 x 89 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,12
Sénégalaises,"Marcos Zrihen",2013,Painting,"Unique work","80 x 80 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,13
